,gridcode,area,perim,hdiff,vol_chg,StrmOrder
0,2,12.6514,20.74,-3.02,-38.2072,3
1,2,32.0006,58.56,-0.602926,-19.294,4
2,2,48.7451,91.5,-0.801359,-39.0623,4
3,2,10.0467,25.62,-0.12,-1.2056,4
4,2,91.1645,139.08,-0.759747,-69.262,4
5,2,207.26,247.66,-0.810013,-167.883,4
6,2,119.444,128.1,-0.722337,-86.2789,4
7,2,170.05,168.36,-0.261958,-44.546,4
8,2,232.19,237.9,-2.96037,-687.369,4
9,2,41.3031,50.02,-0.401331,-16.5762,4
10,2,159.259,206.18,-2.63043,-418.92,4
11,1,22.326,43.92,0.08,1.78608,4
12,2,26.047,47.58,-2.39015,-62.2561,4
13,2,48.7451,71.98,-3.46969,-169.13,4
14,2,13.0235,29.28,-0.724676,-9.43782,4
15,2,50.2335,79.3,-1.28961,-64.7816,4
16,2,17.4887,35.38,-0.4,-6.99548,4
17,1,28.6517,53.68,0.12,3.4382,4
18,2,16.0003,41.48,-0.62,-9.92019,4
19,2,53.9545,97.6,-0.951817,-51.3548,4
20,2,82.6062,122.0,-2.37789,-196.428,4
21,2,89.304,80.52,-3.37099,-301.043,4
22,1,9.6746,26.84,0.05,0.48373,4
23,2,264.563,392.84,-1.92135,-508.319,4
24,1,16.7445,40.26,0.18,3.01401,4
25,2,99.3507,175.68,-0.880191,-87.4476,4
26,2,3.721,13.42,-0.14,-0.52094,4
27,2,34.6053,74.42,-1.0742,-37.1729,4
28,2,56.9313,108.58,-0.463417,-26.3829,4
29,2,73.3037,135.42,-2.63339,-193.037,4
30,2,46.8846,90.28,-1.02494,-48.0538,4
31,2,13.3956,30.5,-0.04,-0.535824,4
32,2,46.1404,84.18,-0.775084,-35.7627,4
33,2,302.145,417.24,-1.53769,-464.606,4
34,2,19.3492,37.82,-0.858112,-16.6038,4
35,2,16.7445,45.14,-0.58,-9.71181,4
36,2,27.1633,42.7,-0.439394,-11.9354,4
37,2,48.7451,80.52,-0.284956,-13.8902,4
38,2,51.3498,112.24,-0.397915,-20.4328,4
39,2,26.047,50.02,-0.754954,-19.6643,4
40,2,33.489,56.12,-0.719682,-24.1014,4
41,2,47.2567,87.84,-0.551942,-26.083,4
42,2,51.3498,101.26,-1.40727,-72.2632,4
43,2,54.3266,90.28,-0.252465,-13.7156,4
44,2,20.0934,36.6,-1.98,-39.7849,4
45,2,135.444,146.4,-1.88159,-254.851,4
46,2,17.4887,29.28,-5.98,-104.582,4
47,2,37.9542,61.0,-0.12,-4.5545,4
48,2,16.7445,36.6,-0.765963,-12.8257,4
49,2,26.4191,47.58,-0.717953,-18.9677,4
50,1,24.1865,58.56,0.06,1.45119,4
51,2,767.27,829.6,-3.82847,-2937.47,4
52,2,137.305,126.88,-1.91098,-262.387,4
53,2,37.21,64.66,-1.81284,-67.4559,4
54,2,29.3959,47.58,-1.24679,-36.6506,4
55,2,17.4887,36.6,-0.5,-8.74435,4
56,2,459.171,451.4,-4.03423,-1852.4,4
57,2,4.8373,12.2,-1.48,-7.1592,4
58,2,11.5351,26.84,-1.14,-13.15,4
59,2,20.4655,48.8,-0.179877,-3.68126,4
60,2,357.96,419.68,-2.67485,-957.488,4
61,2,15.2561,30.5,-1.34,-20.4432,4
62,2,20.8376,37.82,-0.594194,-12.3816,4
63,1,48.0009,73.2,0.04,1.92004,4
64,2,191.259,223.26,-2.36704,-452.717,4
65,2,284.284,322.08,-2.73025,-776.166,4
