,core_code,unit,depth,order,type,Density (g/cm3),P (mg/kg)
0,06315,Gunder,1.5,2,erosion,1.636119383106113,466.0678642714571
1,06320,Gunder,2.0,2,erosion,1.4348595302864124,534.3434343434343
2,06320,Gunder,2.0,2,erosion,1.4348595302864124,860.4417670682731
3,06320,Gunder,2.0,2,erosion,1.4348595302864124,1107.072691552063
4,06325,Gunder,2.5,2,erosion,1.674810562974717,270.8333333333333
5,06325,Gunder,2.5,2,erosion,1.674810562974717,478.131212723658
6,06325,Gunder,2.5,2,erosion,1.674810562974717,354.251012145749
7,06330,Gunder,3.0,2,erosion,1.4673896942523723,482.89738430583503
8,06330,Gunder,3.0,2,erosion,1.4673896942523723,424.6031746031746
9,06330,Gunder,3.0,2,erosion,1.4673896942523723,491.07142857142856
10,06335,Gunder,3.5,2,erosion,1.5106810993282833,591.1764705882352
11,06335,Gunder,3.5,2,erosion,1.5106810993282833,619.8019801980198
12,06339,Gunder,3.9,2,erosion,1.5883920465802985,254.9800796812749
13,06339,Gunder,3.9,2,erosion,1.5883920465802985,1382.2937625754528
14,06339,Gunder,3.9,2,erosion,1.5883920465802985,457.17131474103587
15,06345,Gunder,4.5,2,erosion,1.9587101757685472,366.14173228346453
16,06345,Gunder,4.5,2,erosion,1.9587101757685472,278.54330708661416
17,06345,Gunder,4.5,2,erosion,1.9587101757685472,402.4144869215292
18,10100,Camp Creek,0.0,4,erosion,1.0081064954299452,524.2424242424242
19,10100,Camp Creek,0.0,4,erosion,1.0081064954299452,475.1984126984127
20,10100,Camp Creek,0.0,4,erosion,1.0081064954299452,503.0120481927711
21,10105,Camp Creek,0.5,4,erosion,1.2601331192874317,370.7070707070707
22,10105,Camp Creek,0.5,4,erosion,1.2601331192874317,338.4146341463415
23,10110,Camp Creek,1.0,4,erosion,0.9794372347629756,351.3779527559055
24,10110,Camp Creek,1.0,4,erosion,0.9794372347629756,384.2315369261477
25,10110,Camp Creek,1.0,4,erosion,0.9794372347629756,381.3387423935091
26,10200,Robert's Creek,0.0,4,erosion,1.2043553886488287,538.3064516129032
27,10200,Robert's Creek,0.0,4,erosion,1.2043553886488287,526.6798418972332
28,10200,Robert's Creek,0.0,4,erosion,1.2043553886488287,520.6286836935167
29,10205,Robert's Creek,0.5,4,erosion,1.2356533494342599,452.09580838323353
30,10205,Robert's Creek,0.5,4,erosion,1.2356533494342599,497.9757085020243
31,10205,Robert's Creek,0.5,4,erosion,1.2356533494342599,515.2129817444219
32,10210,Robert's Creek,1.0,4,erosion,1.1990979884119062,399.2094861660079
33,10210,Robert's Creek,1.0,4,erosion,1.1990979884119062,340.3193612774451
34,10210,Robert's Creek,1.0,4,erosion,1.1990979884119062,387.67395626242546
35,10216,Robert's Creek,1.6,4,erosion,1.179054150008638,395.16129032258067
36,10216,Robert's Creek,1.6,4,erosion,1.179054150008638,390.56224899598396
37,10216,Robert's Creek,1.6,4,erosion,1.179054150008638,356.99797160243406
38,10220,Robert's Creek,2.0,4,erosion,1.2086270263413286,365.9274193548387
39,10220,Robert's Creek,2.0,4,erosion,1.2086270263413286,363.08316430020284
40,10220,Robert's Creek,2.0,4,erosion,1.2086270263413286,369.4331983805668
41,10300,Gunder,0.0,4,erosion,1.0221536116879733,401.5904572564612
42,10300,Gunder,0.0,4,erosion,1.0221536116879733,387.3517786561265
43,10300,Gunder,0.0,4,erosion,1.0221536116879733,365.58044806517313
44,10305,Gunder,0.5,4,erosion,1.2635011413142103,348.0492813141684
45,10305,Gunder,0.5,4,erosion,1.2635011413142103,320.7920792079208
46,10305,Gunder,0.5,4,erosion,1.2635011413142103,331.02766798418975
47,10310,Gunder,1.0,4,erosion,1.2211133519040203,707.5848303393213
48,10310,Gunder,1.0,4,erosion,1.2211133519040203,766.798418972332
49,10310,Gunder,1.0,4,erosion,1.2211133519040203,752.4557956777996
50,10315,Gunder,1.5,4,erosion,1.5145420026272736,505.9642147117296
51,10315,Gunder,1.5,4,erosion,1.5145420026272736,575.0507099391481
52,10315,Gunder,1.5,4,erosion,1.5145420026272736,608.4812623274162
53,10320,Gunder,2.0,4,erosion,1.243621596668346,769.4610778443114
54,10320,Gunder,2.0,4,erosion,1.243621596668346,762.1951219512196
55,10320,Gunder,2.0,4,erosion,1.243621596668346,737.0517928286853
56,10323,Gunder,2.3,4,erosion,1.7420888566315882,307.9268292682927
57,10323,Gunder,2.3,4,erosion,1.7420888566315882,315.5241935483871
58,10323,Gunder,2.3,4,erosion,1.7420888566315882,267.82077393075355
59,17100,Camp Creek,0.0,5,erosion,1.3859821374587709,471.0
60,17100,Camp Creek,0.0,5,erosion,1.3859821374587709,441.0569105691057
61,17100,Camp Creek,0.0,5,erosion,1.3859821374587709,529.5315682281059
62,17103,Camp Creek,0.3,5,erosion,1.217416742362434,430.99999999999994
63,17103,Camp Creek,0.3,5,erosion,1.217416742362434,373.50597609561754
64,17103,Camp Creek,0.3,5,erosion,1.217416742362434,471.0
65,17200,Robert's Creek,0.0,5,erosion,1.2200454424808953,504.9212598425197
66,17200,Robert's Creek,0.0,5,erosion,1.2200454424808953,512.1703853955376
67,17200,Robert's Creek,0.0,5,erosion,1.2200454424808953,470.35573122529644
68,17205,Robert's Creek,0.5,5,erosion,1.2072305294033958,599.403578528827
69,17205,Robert's Creek,0.5,5,erosion,1.2072305294033958,609.3117408906883
70,17205,Robert's Creek,0.5,5,erosion,1.2072305294033958,664.3426294820717
71,17210,Robert's Creek,1.0,5,erosion,1.3511518608891575,665.9919028340081
72,17210,Robert's Creek,1.0,5,erosion,1.3511518608891575,588.5311871227365
73,17210,Robert's Creek,1.0,5,erosion,1.3511518608891575,530.060120240481
74,17300,Gunder,0.0,5,erosion,1.11235088450268,605.2631578947369
75,17300,Gunder,0.0,5,erosion,1.11235088450268,571.1462450592885
76,17300,Gunder,0.0,5,erosion,1.11235088450268,630.6042884990253
77,17305,Gunder,0.5,5,erosion,1.070784563879509,584.6613545816733
