FID,id,avg_loss,qc_precip,avg_delive,avg_runoff,area_m2,area_ac,deliv_ST,delivert Metric Tons,huc12,huc8,
0,1.024E+11,76.09,377.89,72.14,66.39,140420760,34699,2503186,2270853,1.024E+11,10240002,89497570
1,1.024E+11,96.26,376.83,90.56,64.01,71751774,17730,1605629,1456603,1.024E+11,10240002,
2,1.024E+11,76.16,381.51,72.16,63.34,98756236,24403,1760920,1597480,1.024E+11,10240002,
3,1.024E+11,57.2,386.79,53.71,65.01,117426794,29017,1558503,1413851,1.024E+11,10240002,
4,1.024E+11,74.87,381.58,71.62,67.43,43831435,10831,775716,703718,1.024E+11,10240002,
5,1.024E+11,33.68,385.54,31.66,65.56,111568300,27569,872835,791823,1.024E+11,10240002,
6,1.024E+11,48.93,376.5,45.42,63.31,107406482,26541,1205492,1093604,1.024E+11,10240002,
7,1.024E+11,41.25,367.63,39.71,58.06,91585729,22631,898677,815266,1.024E+11,10240002,
8,1.024E+11,41.36,373.9,37.51,59.79,128071060,31647,1187079,1076900,1.024E+11,10240002,
9,1.024E+11,30.59,374.63,29.59,63.66,105293015,26018,769873,698417,1.024E+11,10240002,
10,1.024E+11,76.19,375.84,73.04,62.51,51702661,12776,933159,846548,1.024E+11,10240002,
11,1.024E+11,50.74,372.25,49.3,60.53,102761445,25393,1251875,1135682,1.024E+11,10240002,
12,1.024E+11,66.57,378.47,64.06,62.06,132884383,32836,2103474,1908240,1.024E+11,10240002,
13,1.024E+11,42.23,381.52,41.05,62.03,94248896,23289,956013,867281,1.024E+11,10240002,
14,1.024E+11,38.9,384.78,36.65,63.4,122579415,30290,1110129,1007092,1.024E+11,10240002,
15,1.024E+11,99.5,380.77,96.35,64.91,83473158,20627,1987411,1802949,1.024E+11,10240002,
16,1.024E+11,64.36,376.15,61.08,65.25,135603746,33508,2046669,1856707,1.024E+11,10240002,
17,1.024E+11,89.52,385.88,83.75,64.76,90018154,22244,1862935,1690027,1.024E+11,10240002,
18,1.024E+11,76.53,388.79,74.37,68.62,94856231,23439,1743158,1581367,1.024E+11,10240002,
19,1.024E+11,60.79,386.6,55.81,67.85,84898013,20979,1170838,1062167,1.024E+11,10240002,
20,1.024E+11,42.96,366.85,40.49,57.91,86935143,21482,869806,789075,1.024E+11,10240002,
21,1.024E+11,41.34,366.56,39.1,56.93,121881197,30117,1177575,1068278,1.024E+11,10240002,
22,1.024E+11,46.98,374.07,42.32,56.45,84656356,20919,885292,803124,1.024E+11,10240002,
23,1.024E+11,77.3,372.79,70.7,59.41,97872571,24185,1709880,1551177,1.024E+11,10240002,
24,1.024E+11,26.78,383.23,22.75,60.75,70829100,17502,398171,361215,1.024E+11,10240002,
25,1.024E+11,34.02,380.91,32.56,62.79,112166218,27717,902466,818704,1.024E+11,10240002,
