,core_code,core,unit,depth,order,type,density (g/cm3),P (mg/kg),P Density (kg/m3)
0,06315,6,3.0,1.5,2,erosion,1.636119383106113,466.0678642714571,0.7625426665773999
1,06320,6,3.0,2.0,2,erosion,1.4348595302864124,534.3434343434343,0.7667077692136486
2,06320,6,3.0,2.0,2,erosion,1.4348595302864124,860.4417670682731,1.234613069734393
3,06320,6,3.0,2.0,2,erosion,1.4348595302864124,1107.072691552063,1.5884938021933073
4,06325,6,3.0,2.5,2,erosion,1.674810562974717,270.8333333333333,0.45359452747231915
5,06325,6,3.0,2.5,2,erosion,1.674810562974717,478.131212723658,0.8007792055574938
6,06325,6,3.0,2.5,2,erosion,1.674810562974717,354.251012145749,0.5933033370861851
7,06330,6,3.0,3.0,2,erosion,1.4673896942523723,482.89738430583503,0.7085986451118096
8,06330,6,3.0,3.0,2,erosion,1.4673896942523723,424.6031746031746,0.623058322559539
9,06330,6,3.0,3.0,2,erosion,1.4673896942523723,491.07142857142856,0.7205931534275043
10,06335,6,3.0,3.5,2,erosion,1.5106810993282833,591.1764705882352,0.8930791204852497
11,06335,6,3.0,3.5,2,erosion,1.5106810993282833,619.8019801980198,0.9363231368113915
12,06339,6,3.0,3.9,2,erosion,1.5883920465802985,254.9800796812749,0.40500833060214786
13,06339,6,3.0,3.9,2,erosion,1.5883920465802985,1382.2937625754528,2.1956244185124048
14,06339,6,3.0,3.9,2,erosion,1.5883920465802985,457.17131474103587,0.7261672802593198
15,06345,6,3.0,4.5,2,erosion,1.9587101757685472,366.14173228346453,0.7171655367971451
16,06345,6,3.0,4.5,2,erosion,1.9587101757685472,278.54330708661416,0.5455856099827745
17,06345,6,3.0,4.5,2,erosion,1.9587101757685472,402.4144869215292,0.7882133504098782
18,10100,10,1.0,0.0,4,erosion,1.0081064954299452,524.2424242424242,0.5284921930587289
19,10100,10,1.0,0.0,4,erosion,1.0081064954299452,475.1984126984127,0.4790506064592696
20,10100,10,1.0,0.0,4,erosion,1.0081064954299452,503.0120481927711,0.5070897130626532
21,10105,10,1.0,0.5,4,erosion,1.2601331192874317,370.7070707070707,0.4671402573520075
22,10105,10,1.0,0.5,4,erosion,1.2601331192874317,338.4146341463415,0.4264474885393442
23,10110,10,1.0,1.0,4,erosion,0.9794372347629756,351.3779527559055,0.34415265040391957
