,core_code,unit,depth,order,type,Density (g/cm3),P (mg/kg),P Density (kg/m3)
0,001_1,nan,nan,1,deposition,0.21846074200489976,519.6663286004057,0.11352669174100669
1,001_2,nan,nan,1,deposition,0.19763908741439495,756.8042955008332,0.14957411031407877
2,001_3,nan,nan,1,deposition,0.22324233282944156,674.6364424523981,0.15060741322482868
3,002_1,nan,nan,2,deposition,0.2913510227408318,235.52894211576847,0.06862159817049532
4,002_2,nan,nan,2,deposition,0.3049858014253587,463.46062992125985,0.141348911645637
5,002_3,nan,nan,2,deposition,0.32735060578196556,367.4089068825911,0.12027152823770598
6,003_1,nan,nan,5,deposition,0.4175198169974919,208.13839028350242,0.08690190262132047
7,003_2,nan,nan,5,deposition,0.427590137067361,201.11671174493895,0.08599552234155537
8,003_3,nan,nan,5,deposition,0.4069423585068395,229.08459749230536,0.09322422640110876
9,004_1,nan,nan,1,deposition,0.30419611445585143,355.4009782207456,0.1081115966485595
10,004_2,nan,nan,1,deposition,0.308600973882096,375.4880456240404,0.11587597656066377
11,004_3,nan,nan,1,deposition,0.3165050884117553,346.24475744866544,0.10958822756839662
12,005_1,nan,nan,5,deposition,0.3914601470037397,173.94049957900646,0.06809077353510179
13,005_2,nan,nan,5,deposition,0.3858598898713596,158.0006952680872,0.060966130875742375
14,005_3,nan,nan,5,deposition,0.39943670987922536,275.3528908533542,0.10998605277819726
15,006_1,nan,nan,5,deposition,0.40876805682166456,126.47656623625059,0.0516995802138687
16,006_2,nan,nan,5,deposition,0.4209103995821677,151.36253627240114,0.06371006562418673
17,006_3,nan,nan,5,deposition,0.3545114906322801,174.50144190820666,0.06186276628836057
18,007_1,nan,nan,6,deposition,0.385048468398104,135.1887344402526,0.05205421514089728
19,007_2,nan,nan,6,deposition,0.3785208724391462,143.00407870238882,0.05413002863278456
20,007_3,nan,nan,6,deposition,0.37455794792244257,119.19791308336201,0.04464652572114174
21,008_1,nan,nan,4,deposition,0.35358415180570235,303.11408333815837,0.10717633605748571
22,008_2,nan,nan,4,deposition,0.3244309374451625,397.21965068197244,0.1288703436423923
23,008_3,nan,nan,4,deposition,0.3317989342157065,460.82394897094264,0.1529008951296319
24,009_1,nan,nan,4,deposition,0.36918228066212433,337.8859689527827,0.12474151262172004
25,009_2,nan,nan,4,deposition,0.36265468470316653,350.0626773237765,0.1269518698712005
26,009_3,nan,nan,4,deposition,0.3862003970967437,407.70348554465767,0.1574552480150733
27,010_1,nan,nan,3,deposition,0.2936186559651983,455.83900226757373,0.13384283518232198
28,010_2,nan,nan,3,deposition,0.3093182125057773,419.08802784787036,0.1296315596564747
29,010_3,nan,nan,3,deposition,0.3046380493653924,539.6586345381527,0.164400553748894
30,01100,Camp Creek,0.0,6,erosion,1.2116664608532997,485.1543685823637,0.5878452767477099
31,01102,Camp Creek,0.2,6,erosion,1.2092842013709442,530.7690792779116,0.6418506621469806
32,011_1,nan,nan,3,deposition,0.3695662568950042,163.83832335329342,0.060549115897630006
33,011_2,nan,nan,3,deposition,0.36916054615837646,186.04856410492548,0.068681789536956
34,011_3,nan,nan,3,deposition,0.3708196132778008,189.6338371643809,0.07031994616168118
35,01200,Robert's Creek,0.0,6,erosion,1.1447989015899378,675.942824435747,0.7738186029516433
36,01205,Robert's Creek,0.5,6,erosion,1.2270279271705582,553.1236023959882,0.6786981073170614
37,01210,Robert's Creek,1.0,6,erosion,1.2963598927949778,550.0904355897746,0.7131151781087027
38,012_1,nan,nan,3,deposition,0.28415690200027166,459.16334661354585,0.1304744340857821
39,012_2,nan,nan,3,deposition,0.3255901109783848,415.675223965718,0.13533974230196308
40,012_3,nan,nan,3,deposition,0.32451063062557156,434.00858306662786,0.14084039898786216
41,01300,Gunder,0.0,6,erosion,1.1070934842657574,491.3719205757525,0.5439946516205668
42,01305,Gunder,0.5,6,erosion,1.117526137860901,523.9387872809708,0.5855152894256275
43,01310,Gunder,1.0,6,erosion,1.267937072764114,484.1222879684418,0.6138365966665715
44,01315,Gunder,1.5,6,erosion,1.3367761571163215,522.6920071801388,0.6987222127136828
45,01325,Gunder,2.5,6,erosion,1.4692790724625164,502.01344909685463,0.7375978548527352
46,01330,Gunder,3.0,6,erosion,1.3246184190684378,810.3028102995631,1.0733420275457197
47,01335,Gunder,3.5,6,erosion,1.290116730013632,295.6891669241067,0.3814735411325835
48,013_1,nan,nan,4,deposition,0.34527432653941525,542.1356083014693,0.18718550704932604
49,013_2,nan,nan,4,deposition,0.34428902903617636,480.01022494887525,0.16526225427508487
50,013_3,nan,nan,4,deposition,0.31051361021191276,531.5533382606553,0.16505454608351017
51,01400,Gunder,0.0,6,erosion,,311.9586965775503,
52,014_1,nan,nan,2,deposition,0.30744180034887375,490.60502989074416,0.15083249364982343
53,014_2,nan,nan,2,deposition,0.29287243800318646,709.7290815600675,0.20786008643825932
54,014_3,nan,nan,2,deposition,0.3044134594933306,702.0364891518738,0.21370935635327393
55,015_1,nan,nan,6,deposition,0.37907872470200943,305.2971864957963,0.115731668111938
56,015_2,nan,nan,6,deposition,0.35765574884114554,352.927807750835,0.12622665936798871
57,015_3,nan,nan,6,deposition,0.31225237051174615,468.9437751004016,0.14642880541182757
58,016_1,nan,nan,6,deposition,0.4150493284048126,216.89921570374088,0.09002387380936824
